indeks,Komentar_bersih,Label_Validator,Detected_Lang
14298,hoho168 min d 3 p0 10k,1.0,sk
14312,wanita laknat,3.0,sw
14330,kocokin dong,5.0,nl
14337,wow pulen nya emoji_red_heart emoji_red_heart emoji_red_heart emoji_red_heart,5.0,pl
14343,ko cowoknya ga sangex y apa cowoknya ga normal,5.0,tl
14344,buset tobrut emoji_rolling_on_the_floor_laughing,5.0,no
14345,takut mental aja itu nenen nya emoji_rolling_on_the_floor_laughing,5.0,fi
14350,bacot wir,3.0,en
14352,apa gk malu,3.0,tl
14354,ngaceng gak tu mr p,5.0,tl
14355,she is super hot sexy girl,5.0,en
14358,enak di jilmek,5.0,sl
14360,semox emoji_drooling_face,5.0,pt
14361,wow bulat bulat,5.0,tl
14362,puasa tapi nyebar nafsu gimana crita nya ni orang otak nya ketinggalan di wc apa gimana emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,3.0,tl
14366,yg laki ngaceng cok lihat emoji_face_with_tears_of_joy,5.0,tl
14375,kirain non muslim,4.0,fi
14382,ewek ewek ewek ewek,5.0,af
14389,cuma mau liat tt aja,5.0,ro
14390,gak bisa kok boxing nya guna kain kafan sok suci anjir,4.0,tl
14394,puasa ko ngumbar aurat,4.0,tl
14403,masa iya ini umat nabi muhammad pdhal nabi sudah susah payah ngangkat derajat wanita,4.0,tl
14404,yg gini gini nih sangat d sukai warga konoha yg katanya mayoritas emoji_face_with_tears_of_joy,4.0,tl
14407,ga mungki ga ngaceng itu,5.0,tl
14417,gatel asu,3.0,et
14423,si abang nyaa ngaceng broo,5.0,tl
14440,bsok aku bikin video kyk gini versi biji keluar sedikit emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,5.0,sl
14446,konten boobs,5.0,af
14448,hadeh kata nya lagi puasa tpi baju nya ngbikin orang batal puasa,3.0,tl
14454,ini video kayk model porno,5.0,sl
14461,brpan booking per malam non,5.0,tl
14471,koleksi video buat coli,5.0,et
14473,pamer tete,5.0,no
14479,dada palsu,5.0,pt
14480,open bo,5.0,nl
14485,auraaatnya mboook puasa apaan tuh,3.0,tl
14487,tt mu looo emoji_red_heart emoji_red_heart,5.0,et
14489,wow mantap atas bawah,5.0,tl
14491,njir co islam gni,4.0,hr
14493,fix pamer tete,5.0,ca
14515,konten pamer toket doang laku emoji_grinning_face_with_sweat,5.0,no
14532,hot banget tuhan,5.0,tl
14540,febi smkin montok ahhh yesss emoji_smiling_face_with_hearts emoji_smiling_face_with_hearts emoji_face_blowing_a_kiss,5.0,hu
14543,hadeuh itu toket konten toket,5.0,fi
14551,lagi puasa tpi bugil,3.0,tl
14554,99 yang nonton pasti coli emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,5.0,tl
14560,poso pakean mu koyok ngono gak udoh sisan emoji_clown_face,3.0,tl
14565,nafsu nggak bang emoji_face_with_tears_of_joy,5.0,tl
14575,gk asli ituuu subal,3.0,et
14581,wkwkwkwk buat bacol ya bro,3.0,sw
14582,untung saya nonton nya sesudah puasa jdi saya bisa nikmatin dan bisa coliiiiiiii emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,5.0,tl
14583,iya ya hahaha malunya naudzubillah,3.0,so
14586,konten lendir,5.0,no
14588,emoji_face_with_open_mouth emoji_face_with_open_mouth emoji_face_with_open_mouth emoji_face_with_open_mouth emoji_face_with_open_mouth emoji_face_with_open_mouth gede baget,5.0,da
14589,nonton cwe jadi 2 an emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,5.0,it
14590,nenen nya gede bangeeeeeeet,5.0,nl
14592,manuk e sing lanang ngaceng wkwkw,5.0,tl
14593,woww gedeee mau crottt,5.0,nl
14597,0 1 boxing 99 9 pamer tt,5.0,en
14599,cocok nih main jav emoji_grinning_face emoji_grinning_face emoji_grinning_face,5.0,sl
14604,liat kaya gini aja ngaceng,5.0,tl
14605,kok ono yo lanang lambene koyok silit emoji_face_with_tears_of_joy,3.0,tl
14609,raine kyok asu cok,3.0,fi
14610,lambee ambee raiiimuu sing koyooo taaaeek tawuuu betull mbak eee kwalitass dirimu sudah mencerminkan attitude noooool putuuuul cuuuk,3.0,et
14617,enak e di culik arek iku endi alamat e arek iku,5.0,tr
14623,bigmo ngoco o ta rai kyk selet ae kakean cocot emoji_grinning_face_with_sweat emoji_grinning_face_with_sweat emoji_grinning_face_with_sweat,3.0,tl
14624,cina ya,4.0,sw
14630,bigmo big monyet emoji_pig_face emoji_pig_face emoji_pig_face,4.0,tl
14632,sing enak kumpulno bonek ae sing wani menghina kota surabaya ayo maju,3.0,tl
14634,masya allah yang sopan laaa wong ngapak nda suka kalau anda menghina,4.0,tl
14637,biasa yg kaya gini klo di kasih salam olah raga sama orang surabaya paling nangis emoji_rolling_on_the_floor_laughing,4.0,tl
14641,cene koplak wong sito iki gedang godok preteelan gerang goblok guatelin cokkk emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,3.0,af
14643,haeeeee bigmo jaga mulut muuu itu yeah jiancho koeee bigmo,3.0,so
14648,big mouth,3.0,en
14649,bigmo b bi guoblook monconge koyo corong,3.0,tl
14651,sopo seh wong gendut kocomotonan kui,3.0,af
14655,hay orang rasis lo ngomong sembarangan tak bantai tak clurit koen cok,4.0,tl
14658,raimu kui cok emoji_thinking_face njalok di tuaboki cocote kui bocah emoji_thinking_face emoji_thinking_face emoji_thinking_face,3.0,hr
14660,collabe kono koen karo aur aura n kntl,4.0,fi
14667,sek tah bigmo iki lanang po wedok congor e koyo kimpet e babi emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,3.0,tl
14668,uaaasuuuuu arek kui njancukk,3.0,et
14670,wes gk usah al el al el sok funky ngomong ai lo lonthe ya awas kliatan lo lewat mampus tar lo,3.0,tl
14677,gak tau suroboyo iku bonek sok jago bigmo,3.0,hr
14686,pajang foto kirek ki reek pengen ktmu q reek tk pongore raine kirek jancok an ik,4.0,sl
14687,bigmo ik areek ndii see yooo by one tk amplase raine kirek ik,4.0,et
14688,serlok cok mo bigmo by one posisi rai mu koyo kirek mo bigmo kireeek,3.0,lt
14692,raine koyok asu emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,4.0,fi
14694,sombong amat to anak,3.0,tl
14702,btv punya barang bagus--nyemplung ga bakal nyesel,1.0,tl
14705,nyonyor km klu nginjek sby lg,3.0,tl
14716,orang ini bahaya habis surabaya mn lg nih yg di hina,4.0,tl
14717,hoooo jebule wong kere,3.0,af
14718,yo bener ae wong si pigmo gae hp nokae jaringan xl emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy mo mo raimu asyu,3.0,tl
14719,iki wong gateli bedes ntas iso ngomong ngrusak nkri cangkem jaluk dikareti raine koyo garangan caring sok omon british cok cok,4.0,tl
14721,pantesan jeneng mu bigmo alias big mouth surabaya lo paten seru pisan bigmo iku sopo se sakjane,3.0,tl
14723,raine ae kyk bolote ta 3 k ngono cok,3.0,lt
14727,ketok nang suroboyo tak giles raimu bigmo cuk,3.0,tl
14729,wes raimu elek mo bigmo,3.0,af
14733,minggat to cok raimu wong endhi pateni wong suroboyo sok sok an basa inggir ojok rene koen hpne wedhos iku paling crooss beke,3.0,af
14734,arek arek wedok podo mlumpuk o uyuono cangkeme bigmo kuwi lo rek,3.0,pl
14737,bigmo asu kon iku emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,3.0,tl
14741,i emoji_red_heart surabaya ayo rek ditandai bigmo ojok sampek ngidek suroboyo emoji_face_with_symbols_on_mouth titeni ae arek iki,4.0,tl
14742,hancurkan bigmooo emoji_party_popper emoji_party_popper emoji_party_popper,3.0,so
14749,good don t you ever step ur foot here again well you are elephant dung,3.0,en
14752,awas kon yo cok sapi gede awas kon lek ng sby aku wong jatim melok mangkel,3.0,tl
14759,sampek bigmo ketok nang suroboyo tak glangsing koen cook jancok asuuu emoji_enraged_face emoji_enraged_face,3.0,tl
14761,mbeelenek ndelok raiimuu suuu iki suroboyo cokk emoji_smiling_face_with_horns emoji_face_with_steam_from_nose emoji_enraged_face emoji_face_with_symbols_on_mouth ketemu nak dalan tak tubruk kon yoo,3.0,et
14764,ndang sikat ae bigmo iku,4.0,tl
14769,kapok mu kapan emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy siap siap diserang warga suroboyo omahmu,4.0,tl
14774,laki kok ceriwis,4.0,pl
14780,lambe mu mooooo mooooo cuuuuk cuuuukkkk praenan muuu emoji_face_vomiting emoji_face_vomiting emoji_face_vomiting,3.0,so
14783,bikmo itu bnyk omong congor nya rusak cb dtg k tapal kuda jatim bonyok kon emoji_face_with_tears_of_joy,3.0,tl
14786,bigmo taek2,3.0,tl
14790,sombong bgt siitu orang emang dia orang mana lo jelekin orang surabaya,3.0,tl
14793,awk e kyok babi ngono kok ngenyek2 suroboyo cok,4.0,tl
14796,raimu ngenyek suroboyo cok emoji_enraged_face emoji_enraged_face emoji_enraged_face emoji_enraged_face emoji_enraged_face,3.0,lt
14798,cok bigmo sopo manek iki raine koq koyok babi,3.0,tl
14799,itu babi kbs emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,3.0,tl
14800,big mouth ludes le raimu,3.0,fr
14802,congor e dancok an elek elek suroboyo wis sumuk urip e,3.0,en
14804,iki suroboyo cok w a n i,3.0,pl
14808,siiikaaaatttt kesuwen sing ketemu arek iki nek ndi wae pongooorrrr cangkeme,3.0,af
14809,nek ketemu bacok ae,3.0,hu
14813,wong koq longorrrr puoll,3.0,tl
14815,ancen njancu iii wong ikii,3.0,pl
14816,arek koyok codot ngunu coookkk djancokkk,3.0,et
14823,kakean cocot raimu koyok ngganteng dewe sa dunia le ngomong ga kate nyang suroboyo maneh awas koen yo ne nyang suroboyo maneh ati2,3.0,tl
14824,buru saja,3.0,lv
14830,goblok sok keren emoji_grinning_face_with_sweat emoji_grinning_face_with_sweat emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy siapa eluu emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,3.0,no
14831,menungso taekkkkk kukot koen ketok ndek sby,4.0,no
14836,iyo lak fiki naki ngganteng ngomong inggris congormu iku lo biduren cok tak perkes lambemu lo kon,3.0,tl
14841,nih orang kalo blom di tampol sama orang surabaya,3.0,tl
14842,nok suroboyo tak ceplongno kali jagir,4.0,tl
14845,ooo dasar wong kampung rapantes kon nang kota rupamu klawu elek pisan raduwe etika pisan,4.0,tl
14846,aku wong jogja tp pingin napuk mulut e nganggo parutan klopo wong kui songong banget,3.0,tl
14847,mati nih org klo injek surabaya,4.0,hr
14849,raimu koyok selete babi mo bigmo,3.0,sl
14850,arek iki jancuki,3.0,sl
14851,rasis karo wong suroboyo,4.0,tl
14860,big racist,4.0,hr
14867,suroboyo luweh cakep di bandeng ne rai ne bigmo emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy wes rai ne elek ati ne luweh elek maneh emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy emoji_face_with_tears_of_joy,3.0,af
14868,ancen bigmo ikuh mbokne ancok,3.0,tl
14871,aku dewe wong bandung tapi wes urip neng daerah suroboyo kon yo bigmo mbok yo ngoco awak mu iki boso inggris e koyok taek sok sok an ngelek2 no suroboyo jujur tak akoni aku urip neng suroboyo betah kok kon model ngono gak bakal onok sing gelem di ajak kolaborasi wong suroboyo bhasa inggris e yo jago apik2 kabeh gak koyok kon iku sing di gae bahasa inggris ta bahasa linggis,4.0,tl
14875,wani teko suroboyo setor nyowo raimu gk jelas emoji_enraged_face emoji_enraged_face emoji_enraged_face,4.0,pl
14878,bigmo ngomong taek aku wong suroboyo cok emosi nyawang raimu,3.0,tl
14888,gelooo king pr 0 be855 emoji_collision emoji_collision emoji_heart_on_fire emoji_heart_on_fire,1.0,af
14899,rai koyo konci ae ngenyek suroboyo cok cok,4.0,hu
14901,ojek koyok kewan ngono seng duwe utek titik koyok wong primitif ae seneng provokator,4.0,af
14906,anjing bigmo itu dr mn siih,3.0,tl
14912,bigmo jancoooook raimu,3.0,et
14917,gayanya sok britis aslinya emoji_grinning_face_with_sweat emoji_grinning_face_with_sweat emoji_grinning_face_with_sweat norak lo,3.0,tl
14919,caper bedes iki,3.0,da
14920,koen iku ireng elek ndas kotak kemelete jancok,3.0,et
14928,emoji_money-mouth_face sgi88 emoji_money-mouth_face,1.0,en
14931,emoji_sparkles sgi88 emoji_sparkles,1.0,cy
14932,emoji_red_heart sgi88 emoji_red_heart,1.0,cy
14935,epic moment emoji_party_popper sgi88,1.0,ca
14938,si bigmo ngganteng yo gak ngomong sok inggris teko rupo ae gak cocok blas ngomong inggris,3.0,tl
14939,mindset lu kampung bro emoji_face_with_tears_of_joy,3.0,da
14940,sopo sich bigmo iku tolong nitizen yg dekat atau tetanggaan sama bigmo tolong tapuk i cangkeme karo sendal,3.0,tl
14941,raimu koyok asu ngomong bahasa ingris barang ooooh rupamu koyok drom,3.0,tl
14948,santet en mesisan ae mas emoji_grinning_face_with_sweat,3.0,fi
14951,suroboyo yo gak sudi ditekani raimu big mouth kakean cocot sing ngongkon awakmu nang suroboyo sopo su,3.0,tl
14961,proses cepat? emoji_yin_yang alexis17 emoji_yin_yang jagonya!,1.0,ca
15053,"aeiao88 gua wedey gede, modal cma dikit",1.0,so
15061,"aeiao88 gua maen bntr aja, saldo lngsung naik 2x lipat",1.0,tl
15103,"aeiao88 gua main, saldo lngsung nambah byk",1.0,tl
15106,"aeiao88 jekpot terus, gue sampe ketagihan",1.0,et
15107,"aeiao88 cuma main iseng, lgnsung jackpot!",1.0,tl
15110,"aeiao88 wedey cepet banget, gk ribet",1.0,nl
15111,"aeiao88 tiap hari wd, kapan giliran lu..",1.0,tl
15112,"aeiao88 maen santai aja, tapi wedey jalan terus",1.0,fi
15117,aeiao88 saya suka banget sama suasana main di sini,1.0,tl
15118,"aeiao88 gua main dikit aja, saldo lngsg gmpang naik",1.0,tl
15119,"aeiao88 emang mantul, jp-nya gak main-main!",1.0,tl
15126,"gates gacur banget hari ini, auto wede",1.0,en
15147,"keren, emoji_yin_yang alexis17 emoji_yin_yang tuh bener-bener responsif!",1.0,da
15152,"wajar kalo popularitas uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu meledak, hasilnya nyata.",1.0,so
15154,proses cepat? alexis17! jagonya!,1.0,ca
15164,"keren, alexis17 tuh bener-bener responsif!",1.0,da
15170,"salut, alexis17! selalu on time!",1.0,et
15177,"tiap nonton video, pasti ada aja yang promosiin alexis17.",1.0,es
15180,"ternyata bukan sekadar rumor, uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu emang beneran bagus.",1.0,so
15182,"susah nyari kekurangan di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu, semua serba efektif.",1.0,so
15184,orang-orang bilang alexis17 itu the next big thing!,1.0,tl
15186,"bikin hidup lebih simple, itulah uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu.",1.0,so
15195,"temen-temen gue juga rata-rata pake emoji_yin_yang alexis17 emoji_yin_yang !, recommended sih.",1.0,en
15199,mantul! emoji_yin_yang alexis17 emoji_yin_yang bikin puas.,1.0,ro
15201,"nggak nyangka, emoji_yin_yang alexis17 emoji_yin_yang ngasih solusi yang nggak ribet.",1.0,tl
15203,"keren, emoji_yin_yang alexis17 emoji_yin_yang tuh bener-bener responsif!",1.0,da
15225,"salut, emoji_victory_hand mandalika77 emoji_victory_hand selalu on time!",1.0,et
15226,kalian udah coba emoji_yin_yang alexis17 emoji_yin_yang ? recommended banget!,1.0,en
15253,"main di emoji_mountain a e r o 8 8 emoji_input_latin_lowercase -auto good mood, rezeki emang gak kemana! emoji_backhand_index_pointing_up",1.0,hr
15258,mantul! layanan emoji_yin_yang alexis17 emoji_yin_yang bikin puas.,1.0,tl
15263,"nggak nyangka, emoji_victory_hand mandalika77 emoji_victory_hand ngasih solusi yang nggak ribet.",1.0,tl
15296,"rezeki hari ini bikin aku makin optimis, cuma di axl777!",1.0,tr
15308,cuma di thor311 depo receh dikasih wd gak kira_kira cumention_n donk kit@. emoji_face_savoring_food emoji_money-mouth_face emoji_money-mouth_face,1.0,en
15322,gacor pisan king328,1.0,tl
15334,"ikan hiu melayang layang king328 sayang, gokil cuan uhuyyy",1.0,tl
15338,emoji_bullseye auto kaya dengan main di king328! emoji_money_bag,1.0,tl
15348,emoji_star weton88 emang top markotop! jp terus!,1.0,af
15350,sukaaa bangettt sama emoji_star weton88,1.0,fi
15351,"ok min, lanjut weton88",1.0,nl
15359,weton88 is the best emoji_red_heart emoji_red_heart emoji_red_heart,1.0,en
15360,"min video lu baguss , tetap pilih weton88 emoji_crying_face",1.0,et
15362,05emoji_35 high_voltageemoji_ weton88 high_voltage:  tempat ngadu nasib wkwkw,1.0,af
15364,"cakep kali emoji_triangular_flag weton88 emoji_triangular_flag , bravo..",1.0,hr
15368,"bandar weton88 emoji_sun auto, sultan gacur",1.0,en
15371,class bos emoji_triangular_flag weton88 emoji_triangular_flag gak ribet depo cepat dan wd lancar,1.0,en
15374,gila dimana mana pada ngomong alexis17 lee.,1.0,tl
15375,"yakin banget sih di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu,terbaik!.",1.0,so
15376,udah di paling bener main di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu!.,1.0,so
15383,emoji_heart_suit a emoji_heart_suit l emoji_heart_suit e emoji_heart_suit x emoji_heart_suit i emoji_heart_suit s emoji_heart_suit 1 emoji_heart_suit 7 emoji_heart_suit sih emg udh paling the best deh!.,1.0,en
15386,05:11 ada alexis17..,1.0,so
15387,"buset videonya sih gokil,alexis17.",1.0,et
15388,uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu selalu terpercaya dan aman dah!.,1.0,so
15393,emoji_money-mouth_face weton88 emoji_money-mouth_face,1.0,en
15394,"nyimak abang , weton88 cair mulu emoji_beaming_face_with_smiling_eyes",1.0,tl
15396,emoji_triangular_flag weton88 tempat paling uhuy!,1.0,tl
15398,2emoji_25 langsung di weton88 bang cat_with_tears_of_joyemoji_ cat_with_tears_of_joy:,1.0,en
15405,coba buy spin 20k malah maxwin kwkwkkw makasih emoji_triangular_flag weton88 emoji_triangular_flag nyata emng,1.0,sw
15408,tetap optimis di [(a)] [(l)] [(e)] [(x)] [(i)] [(s)] [(1)] [(7)] .,1.0,ca
15411,buset uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu lagi viral yee.,1.0,so
15412,game di [(a)] [(l)] [(e)] [(x)] [(i)] [(s)] [(1)] [(7)]  sih gokil gokil.,1.0,hr
15413,"gila sih uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu,pelayanan nya terbaik!.",1.0,so
15415,"gila updatean [(a)] [(l)] [(e)] [(x)] [(i)] [(s)] [(1)] [(7)]  keren, gokil banget!.",1.0,sv
15417,tim [(a)] [(l)] [(e)] [(x)] [(i)] [(s)] [(1)] [(7)]  the best cepet tanggap.,1.0,en
15418,sudahi galaumu mari coba di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu.,1.0,so
15420,game [(a)] [(l)] [(e)] [(x)] [(i)] [(s)] [(1)] [(7)]  terbaik!.,1.0,ca
15421,gila sih di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu pelayanan nya gokil!.,1.0,so
15422,kesetiaan hanya di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu.,1.0,so
15423,skketernya dapat terus di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu.,1.0,fi
15424,update uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu gokil banget sih.,1.0,so
15425,tim [(a)] [(l)] [(e)] [(x)] [(i)] [(s)] [(1)] [(7)]  sih cepet respon.,1.0,ca
15426,"aku selama ini main di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu selalu win, terbaik!.",1.0,et
15429,"untuk masalah kepercayaan,uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu terpercaya.",1.0,so
15431,gacorrr parah sih di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu.,1.0,so
15448,makin cinta deh sama alexis17,1.0,so
15455,urusan petir?alexis17 jagonya.,1.0,ca
15463,abis pamerin ke temen lee wede 10jt di bayar di emoji_left-right_arrow emoji_keycap_9 emoji_eight-spoked_asterisk emoji_flag_in_hole emoji_victory_hand emoji_left_arrow 17.,1.0,nl
15464,ubur ubur ikan guramee... emoji_victory_hand emoji_virgo emoji_libra emoji_keycap_4 emoji_hot_springs emoji_ophiuchus emoji_up_arrow 17 emoji_victory_hand selalu rameee lee.,1.0,et
15467,astaga abis wede besar di emoji_cross_mark emoji_transgender_symbol emoji_index_pointing_up emoji_capricorn emoji_white_exclamation_mark emoji_fleur-de-lis 17.,1.0,af
15472,epic moment emoji_party_popper weton88,1.0,en
15476,weton88 bikin maxwin makin gampang,1.0,tl
15481,emoji_thumbs_up weton88 emoji_ok_hand,1.0,af
15485,proses secepat kilat cuman di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu.,1.0,fi
15488,"wede 50jt cepet banget prosesnya, emoji_victory_hand emoji_cancer emoji_mountain emoji_libra emoji_pencil emoji_watch emoji_cloud_with_lightning_and_rain 17 emoji_victory_hand .",1.0,nl
15489,wajib di coba sih di ####### emoji_spade_suit emoji_cancer emoji_next_track_button emoji_libra emoji_play_button emoji_orthodox_cross 17#######.,1.0,so
15493,skketer di emoji_shamrock emoji_eight-spoked_asterisk emoji_keycap_1 emoji_sun_behind_cloud emoji_rescue_worker's_helmet emoji_shamrock 17 bagus banget.,1.0,da
15495,seru nich weton88 cair terus emoji_smiling_face_with_smiling_eyes,1.0,en
15498,"kapan lagi main di situs segacor weton88, asli nagih sih",1.0,tl
15500,gw udah coba guys di weton88 cair mulu emoji_thumbs_up,1.0,cy
15502,emoji_red_heart weton88 emoji_red_heart,1.0,af
15513,05emoji_11 ada victory_handemoji_ spade_suitemoji_ hot_beverageemoji_ ophiuchusemoji_ exclamation_question_markemoji_ libraemoji_ index_pointing_upemoji_ 17 victory_hand: .,1.0,hr
15515,update emoji_exclamation_question_mark m emoji_infinity emoji_libra emoji_left-right_arrow  emoji_female_sign 17 gokil banget sih.,1.0,en
15522,whennn yaa bisa kaya suhu2 yang wede di emoji_heart_suit a emoji_heart_suit l emoji_heart_suit e emoji_heart_suit x emoji_heart_suit i emoji_heart_suit s emoji_heart_suit 1 emoji_heart_suit 7 emoji_heart_suit .,1.0,so
15523,"dp 50k bonus 500k, emoji_latin_cross emoji_envelope emoji_raised_fist emoji_cross_mark emoji_up_arrow emoji_umbrella_with_rain_drops 17",1.0,cs
15527,emoji_victory_hand emoji_check_box_with_check emoji_gear emoji_skull_and_crossbones emoji_pencil emoji_libra emoji_leo 17 emoji_victory_hand top markotop.,1.0,af
15529,aku sih cukup setia aja sama emoji_victory_hand emoji_eight-spoked_asterisk emoji_atom_symbol emoji_check_box_with_check emoji_white_exclamation_mark emoji_high_voltage emoji_airplane 17 emoji_victory_hand .,1.0,hr
15533,gila sih promo nya gk abis2 alexis17.,1.0,tl
15538,wede di emoji_victory_hand emoji_double_exclamation_mark emoji_play_or_pause_button emoji_pisces emoji_right_arrow_curving_left emoji_divide emoji_keycap_2 17 emoji_victory_hand cepet banget.,1.0,nl
15544,harus dan wajib coba di emoji_double_exclamation_mark m emoji_gear emoji_left_arrow emoji_atom_symbol emoji_eject_button 17.,1.0,so
15550,game di emoji_shamrock emoji_fleur-de-lis  emoji_female_sign emoji_skull_and_crossbones emoji_black_medium_square emoji_left-right_arrow 17 sih gokil gokil.,1.0,af
15557,gila sih di emoji_soccer_ball emoji_left-right_arrow emoji_double_exclamation_mark emoji_keycap_1 emoji_timer_clock emoji_aries 17 pelayanan nya gokil!.,1.0,tl
15558,gass terus emoji_up-left_arrow emoji_down_arrow emoji_watch emoji_high_voltage emoji_hot_beverage emoji_keycap_9 17.,1.0,en
15567,buset wede alexis17 secepat kilat.,1.0,en
15568,emoji_sparkles emoji_left-right_arrow emoji_airplane emoji_gear emoji_heart_suit emoji_victory_hand 17 tempat hiburan tergokil!.,1.0,en
15579,udah pada coba belum emoji_heart_suit a emoji_heart_suit l emoji_heart_suit e emoji_heart_suit x emoji_heart_suit i emoji_heart_suit s emoji_heart_suit 1 emoji_heart_suit 7 emoji_heart_suit ??!,1.0,ca
15588,serius deh ini alexis17 bener gacor!.,1.0,ca
15591,tetap optimis di emoji_sun emoji_gear emoji_libra emoji_left_arrow emoji_church emoji_crossed_swords 17.,1.0,sq
15597,wede di emoji_victory_hand emoji_atom_symbol emoji_check_mark emoji_play_button emoji_cancer emoji_ophiuchus emoji_record_button 17 emoji_victory_hand cepet banget.,1.0,nl
15603,ga sia sia coba main di emoji_umbrella emoji_transgender_symbol emoji_red_heart emoji_crossed_swords emoji_capricorn emoji_chains 17.,1.0,it
15605,emoji_capricorn emoji_left-right_arrow emoji_timer_clock emoji_capricorn emoji_gear emoji_cancer 17 tempat hiburan tergokil!.,1.0,en
15606,dp di emoji_spade_suit emoji_black_small_square emoji_left-right_arrow emoji_shamrock emoji_cross_mark emoji_eject_button 17 secepat kilat!.,1.0,en
15610,gila emoji_check_box_with_check emoji_sparkles emoji_transgender_symbol emoji_white_exclamation_mark emoji_red_heart emoji_cross_mark_button 17 bisa dapat hp coyy!.,1.0,tl
15611,jadilah pemenang berikutnya di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu.,1.0,so
15614,emoji_cross_mark emoji_white_exclamation_mark emoji_information emoji_play_or_pause_button emoji_soccer_ball emoji_spade_suit 17 sih keren abiss!!.,1.0,de
15618,skketer di emoji_sparkles emoji_raised_fist emoji_crossed_swords emoji_wheel_of_dharma emoji_cross_mark_button emoji_black_medium_square 17 gokil gokil sih.,1.0,sl
15626,gila ada promo apa aja nih di emoji_victory_hand emoji_japanese_congratulations_button emoji_japanese_congratulations_button emoji_comet emoji_up-left_arrow emoji_aries emoji_aries 17 emoji_victory_hand .,1.0,sl
15640,dar der dor petir alexis17 keren!.,1.0,no
15641,gila sih emoji_victory_hand emoji_transgender_symbol  emoji_medical_symbol emoji_raised_fist emoji_sun emoji_keycap_4 emoji_double_exclamation_mark 17 emoji_victory_hand bagi bagi saldo gratis.,1.0,tl
15643,mau ngadu nasib? di emoji_no_entry emoji_eight-spoked_asterisk emoji_watch emoji_capricorn emoji_no_entry emoji_wheel_of_dharma 17!.,1.0,et
15655,emoji_sparkles weton88 emoji_sparkles,1.0,af
15656,keren emoji_indonesia emoji_thumbs_up_medium-light_skin_tone . gas di mari kak weton88,1.0,af
15664,gila emoji_skull_and_crossbones emoji_leo emoji_double_exclamation_mark emoji_red_heart emoji_crossed_swords emoji_gear 17 bisa dapat hp coyy!.,1.0,tl
15675,gila sih alexis17 sering kasih maxwin.,1.0,tl
15678,promo nya banyak banget di uuauuuuluuuueuuuuxuuuuiuuuusuuuu 1 uuuu7uu.,1.0,so
