Indeks,Komentar,Komentar_bersih,normal_teks,Label,Label_Validator
H-405,Virus Corona Mati dalam Suhu 26-27 Derajat dan Saat Terkena Sinar Matahari,virus corona mati dalam suhu 2627 derajat dan saat terkena sinar matahari,virus corona mati dalam suhu 2627 derajat dan saat terkena sinar matahari,2,2
H-406,"Telah diculik Umur anak 5 bulan, Kejadian d Angkot lebak bulus parung Ibunda si bayi dihipnotis",telah diculik umur anak 5 bulan kejadian d angkot lebak bulus parung ibunda si bayi dihipnotis,telah diculik umur anak 5 bulan kejadian d angkot lebak bulus parung ibunda si bayi dihipnotis,2,2
H-407,PASAR TANAH ABANG DI TUTUP SEMENTARA,pasar tanah abang di tutup sementara,pasar tanah abang di tutup sementara,2,2
H-408,"Anjuran Mantan Menkes, Jemur Uang di Bawah Sinar Matahari Selama 30 Menit Bisa Cegah Penularan",anjuran mantan menkes jemur uang di bawah sinar matahari selama 30 menit bisa cegah penularan,anjuran mantan menkes jemur uang di bawah sinar matahari selama 30 menit bisa cegah penularan,2,2
H-409,WhatsApp: Hari jadi ke-9 DAPATKAN GRATIS 20 GB,whatsapp hari jadi ke9 dapatkan gratis 20 gb,WhatsApp hari jadi ke9 dapatkan gratis 20 gambar,2,2
H-410,Lowongan Kerja Bagi Lulusan SMA/SMK di Satpol PP Surabaya,lowongan kerja bagi lulusan smasmk di satpol pp surabaya,lowongan kerja bagi lulusan smasmk di satpol pp surabaya,2,2
H-411,Pemesanan Online Vaksin Covid-19 Sinopharm Melalui E-Commerce,pemesanan online vaksin covid19 sinopharm melalui ecommerce,pemesanan online vaksin covid19 sinopharm melalui ecommerce,2,2
H-412,Surat Pengangkatan Tenaga Honorer menjadi ASN Tanpa Tes oleh Kemendikbud,surat pengangkatan tenaga honorer menjadi asn tanpa tes oleh kemendikbud,surat pengangkatan tenaga honorer menjadi asn tanpa tes oleh kemendikbud,2,2
H-413,Undangan Wawancara Kerja Diskominfo Jawa Barat,undangan wawancara kerja diskominfo jawa barat,undangan wawancara kerja diskominfo jawa barat,2,2
H-414,Surat Edaran Gubernur Jelang HUT NTB,surat edaran gubernur jelang hut ntb,surat edaran gubernur jelang hut ntb,2,2
H-415,"Bank BNI, BRI, dan Mandiri Cairkan Dana Hingga 1,2jt Untuk Nasabah",bank bni bri dan mandiri cairkan dana hingga 12jt untuk nasabah,bank bni bri dan mandiri cairkan dana hingga 12 juta untuk nasabah,2,2
H-416,Akun Grup Telegram Ternak Uang,akun grup telegram ternak uang,akun grup telegram ternak uang,2,2
H-417,Telegram Membagikan Voucher Pulsa Gratis Bagi Pengguna Senilai Rp500 Ribu,telegram membagikan voucher pulsa gratis bagi pengguna senilai rp500 ribu,telegram membagikan voucher pulsa gratis bagi pengguna senilai rp500 ribu,2,2
H-418,WHO Mengatakan bahwa Menyimpan Ponsel Dekat Kepala dapat Menyebabkan Tumor,who mengatakan bahwa menyimpan ponsel dekat kepala dapat menyebabkan tumor,siapa mengatakan bahwa menyimpan ponsel dekat kepala dapat menyebabkan tumor,2,2
H-419,Pemenang Hadiah Shopee Harus Transfer Rp500.000 sebagai Uang Jaminan,pemenang hadiah shopee harus transfer rp500000 sebagai uang jaminan,pemenang hadiah shopee harus transfer rp500000 sebagai uang jaminan,2,2
H-420,Link Mengecek Bantuan Rp500.000 bagi yang Mempunyai E-KTP,link mengecek bantuan rp500000 bagi yang mempunyai ektp,tautan mengecek bantuan rp500000 bagi yang mempunyai ektp,2,2
H-421,Sayur Pakis Bisa Menyebabkan Kanker,sayur pakis bisa menyebabkan kanker,sayur pakis bisa menyebabkan kanker,2,2
H-422,Undangan Psikotes PT. Astra,undangan psikotes pt astra,undangan psikotes pt astra,2,2
H-423,Biden Menyatakan Bahwa Cina Merupakan Negara Unggul dan Tidak Tertandingi,biden menyatakan bahwa cina merupakan negara unggul dan tidak tertandingi,biden menyatakan bahwa cina merupakan negara unggul dan tidak tertandingi,2,2
H-424,Prediksi Akan Ada Bencana Besar di Palopo,prediksi akan ada bencana besar di palopo,prediksi akan ada bencana besar di palopo,2,2
H-425,Subsidi Pulsa Rp250 Ribu dan Kuota 75Gb dari Kemendikbud,subsidi pulsa rp250 ribu dan kuota 75gb dari kemendikbud,subsidi pulsa rp250 ribu dan kuota 75gb dari kemendikbud,2,2
H-426,Lowongan Kerja PT Kereta Api Indonesia,lowongan kerja pt kereta api indonesia,lowongan kerja pt kereta api indonesia,2,2
H-427, Hadiah Tunai Sebesar Rp185 Juta dari Shopee,hadiah tunai sebesar rp185 juta dari shopee,hadiah tunai sebesar rp185 juta dari shopee,2,2
H-428,Peserta Wawancara Pertamina Harus Membayar Biaya Akomodasi,peserta wawancara pertamina harus membayar biaya akomodasi,peserta wawancara pertamina harus membayar biaya akomodasi,2,2
H-429,Indonesia Dilanda Gelombang Panas,indonesia dilanda gelombang panas,indonesia dilanda gelombang panas,2,2
H-430,Surat Penerimaan Pegawai BNN,surat penerimaan pegawai bnn,surat penerimaan pegawai bnn,2,2
H-431,Lowongan Kerja PT Patra Badak Arun Solusi,lowongan kerja pt patra badak arun solusi,lowongan kerja pt patra badak arun solusi,2,2
H-432,Hadiah Mobil Toyota Avanza Veloz Dari PT. WhatsApp Indonesia,hadiah mobil toyota avanza veloz dari pt whatsapp indonesia,hadiah mobil toyota avanza veloz dari pt WhatsApp indonesia,2,2
H-433,Menghirup Cuka dapat Menyembuhkan Covid-19,menghirup cuka dapat menyembuhkan covid19,menghirup cuka dapat menyembuhkan covid19,2,2
H-434,Peserta Wawancara Kerja Antam Wajib Pesan Tiket Travel di PT. Golden Asia,peserta wawancara kerja antam wajib pesan tiket travel di pt golden asia,peserta wawancara kerja antam wajib pesan tiket travel di pt golden asia,2,2
H-435,Daftar Minuman Instan yang Dapat Sebabkan Diabetes dan Matikan Sumsum Tulang,daftar minuman instan yang dapat sebabkan diabetes dan matikan sumsum tulang,daftar minuman instan yang dapat sebabkan diabetes dan matikan sumsum tulang,2,2
H-436,Kopi Lemon Bermanfaat untuk Diet,kopi lemon bermanfaat untuk diet,kopi lemon bermanfaat untuk diet,2,2
H-437,Minum Air Es Setelah Cuaca Panas Dapat Membuat Pembuluh Darah Pecah,minum air es setelah cuaca panas dapat membuat pembuluh darah pecah,minum air es setelah cuaca panas dapat membuat pembuluh darah pecah,2,2
H-438,Video Ma’ruf Amin Mengucapkan Selamat Natal dengan Mengenakan Kostum Sinterklas,video maruf amin mengucapkan selamat natal dengan mengenakan kostum sinterklas,video ma'ruf amin mengucapkan selamat natal dengan mengenakan kostum sinterklas,2,2
H-439,Gunung Welirang Jawa Timur Erupsi,gunung welirang jawa timur erupsi,gunung welirang jawa timur erupsi,2,2
H-440,"Eks Danjen Kopassus Sebut Buzzer Anies Makhluk Pemakan Bangkai, Tukang Fitnah dan Adu Domba",eks danjen kopassus sebut buzzer anies makhluk pemakan bangkai tukang fitnah dan adu domba,eks danjen kopassus sebut buzzer anies makhluk pemakan bangkai tukang fitnah dan adu domba,2,2
H-441,Artis Irish Bella Meninggal Dunia,artis irish bella meninggal dunia,artis irish bella meninggal dunia,2,2
H-442,KETUA UMUM PDIP MEREKUMENDASIKAN GANJAR MAJU CAPRES 2024 . . UDAH DI PASTIKAN GANJAR PRANOWO PENERUS JOKOWI,ketua umum pdip merekumendasikan ganjar maju capres 2024 udah di pastikan ganjar pranowo penerus jokowi,ketua umum pdip merekumendasikan ganjar maju capres 2024 sudah di pastikan ganjar pranowo penerus Jokowi,2,2
H-443,Gunung Semeru Meletus,gunung semeru meletus,gunung semeru meletus,2,2
H-444,Akun TikTok Agnes Mo Bagi-bagi Hadiah Akhir Tahun Senilai Rp50 Juta,akun tiktok agnes mo bagibagi hadiah akhir tahun senilai rp50 juta,akun tiktok agnes mau bagibagi hadiah akhir tahun senilai rp50 juta,2,2
H-445,"Pesan Berantai “warga china dikasih kesempatan jadi PNS, padahal rakyat Indonesia sendiri masih banyak nganggur",pesan berantai warga china dikasih kesempatan jadi pns padahal rakyat indonesia sendiri masih banyak nganggur,pesan berantai warga china dikasih kesempatan jadi pns padahal rakyat indonesia sendiri masih banyak nganggur,2,2
H-446,PNS Akan Dihapuskan dan Digantikan dengan Teknologi Kecerdasan Buatan,pns akan dihapuskan dan digantikan dengan teknologi kecerdasan buatan,pns akan dihapuskan dan digantikan dengan teknologi kecerdasan buatan,2,2
H-447,Cuitan Aa Gym terkait Memilih Pemimpin Muslim yang Koruptor,cuitan aa gym terkait memilih pemimpin muslim yang koruptor,cuitan aa gym terkait memilih pemimpin muslim yang koruptor,2,2
H-448,Foto Anies Baswedan Calon Presiden 2024 Bersama Petinggi ISIS,foto anies baswedan calon presiden 2024 bersama petinggi isis,foto anies Baswedan calon presiden 2024 bersama petinggi isis,2,2
H-449,KPK Berhasil Temukan Aliran Dana Hibah Sebesar 10M di Rumah Anies,kpk berhasil temukan aliran dana hibah sebesar 10m di rumah anies,kpk berhasil temukan aliran dana hibah sebesar 10 m di rumah anies,2,2
H-450,Video Wanita Tak Bermasker Menolak untuk Duduk Bersebelahan dengan Pria yang Belum Divaksin,video wanita tak bermasker menolak untuk duduk bersebelahan dengan pria yang belum divaksin,video wanita tak bermasker menolak untuk duduk bersebelahan dengan pria yang belum divaksin,2,2
H-451,Terdapat Parasit yang Mematikan di Dalam Vaksin Covid-19,terdapat parasit yang mematikan di dalam vaksin covid19,terdapat parasit yang mematikan di dalam vaksin covid19,2,2
H-452,Aliansi Dokter Dunia Mengatakan Bahwa Varian Delta Tidak Ada,aliansi dokter dunia mengatakan bahwa varian delta tidak ada,aliansi dokter dunia mengatakan bahwa varian delta tidak ada,2,2
H-453,Casino Di Arab Saudi,casino di arab saudi,casino di arab saudi,2,2
H-454, Jokowi Resmi Tunjuk Ahok Sebagai PLT Gubernur DKI Jakarta,jokowi resmi tunjuk ahok sebagai plt gubernur dki jakarta,Jokowi resmi tunjuk ahok sebagai plt gubernur dki jakarta,2,2
H-455,Mahkamah Agung Amerika Serikat Telah Membatalkan Vaksinasi Masal,mahkamah agung amerika serikat telah membatalkan vaksinasi masal,mahkamah agung amerika serikat telah membatalkan vaksinasi masal,2,2
H-456,Titiek Puspa Meninggal Dunia,titiek puspa meninggal dunia,titiek puspa meninggal dunia,2,2
H-457,"Riska Syabila, Mahasiswi Penemu Formula Ajaib Pemutih Badan Tanpa Suntik Kimia dan Alat Kecantikan",riska syabila mahasiswi penemu formula ajaib pemutih badan tanpa suntik kimia dan alat kecantikan,riska syabila mahasiswi penemu formula ajaib pemutih badan tanpa suntik kimia dan alat kecantikan,2,2
H-458,Bonus Rp 12 Miliar buat team “Garuda” dikejuaraan AFF 2020,bonus rp 12 miliar buat team garuda dikejuaraan aff 2020,bonus rp 12 miliar buat tim garuda dikejuaraan afeksi 2020,2,2
H-459,Makan Sambil Berdiri Menyebabkan Makanan Akan Langsung Masuk Ke Usus,makan sambil berdiri menyebabkan makanan akan langsung masuk ke usus,makan sambil berdiri menyebabkan makanan akan langsung masuk ke usus,2,2
H-460,Tautan Pengecekan Bantuan Covid-19 Sebesar Rp600.000 bagi Pemilik KTP atau SIM,tautan pengecekan bantuan covid19 sebesar rp600000 bagi pemilik ktp atau sim,tautan pengecekan bantuan covid19 sebesar rp600000 bagi pemilik ktp atau sim,2,2
H-461,Informasi Rekrutmen Fresh Graduate Telkom Indonesia,informasi rekrutmen fresh graduate telkom indonesia,informasi rekrutmen segar lulusan telkom indonesia,2,2
H-462,Kebakaran Kilang Minyak Cilacap Menyebabkan Kelangkaan Minyak,kebakaran kilang minyak cilacap menyebabkan kelangkaan minyak,kebakaran kilang minyak cilacap menyebabkan kelangkaan minyak,2,2
H-463,OJK Cabut Izin Usaha OVO,ojk cabut izin usaha ovo,ojk cabut izin usaha ovo,2,2
H-464,Pemerintah Akan Suntik Paksa Vaksin Mematikan pada 22 Februari 2022,pemerintah akan suntik paksa vaksin mematikan pada 22 februari 2022,pemerintah akan suntik paksa vaksin mematikan pada 22 februari 2022,2,2
H-465,Surat Rekrutmen SDM PKH Tahun 2021 Kemensos,surat rekrutmen sdm pkh tahun 2021 kemensos,surat rekrutmen sdm pkh tahun 2021 kemensos,2,2
H-466,Presiden Jokowi Resmi Copot Menag,presiden jokowi resmi copot menag,presiden Jokowi resmi copot menag,2,2
H-467,"Uang Pecahan Baru, Selembar 1 Juta",uang pecahan baru selembar 1 juta,uang pecahan baru selembar 1 juta,2,2
H-468,Aktor Rano Karno Meninggal Dunia,aktor rano karno meninggal dunia,aktor rano karena meninggal dunia,2,2
H-469,Poster Deklarasi Anies Baswedan dan Ganjar Pranowo Untuk Capres dan Cawapres 2024-2029,poster deklarasi anies baswedan dan ganjar pranowo untuk capres dan cawapres 20242029,poster deklarasi anies Baswedan dan ganjar pranowo untuk capres dan cawapres 20242029,2,2
H-470,Momen Sri Mulyani Nge-vlog bareng Presiden Jokowi di KTT G20 Roma,momen sri mulyani ngevlog bareng presiden jokowi di ktt g20 roma,momen sri mulyani nge-vlog bareng presiden Jokowi di ktt g20 roma,2,2
H-471,Jawa Barat Menggelar Pesta Kemenangan Sebagai Juara Umum PON Papua 2021,jawa barat menggelar pesta kemenangan sebagai juara umum pon papua 2021,jawa barat menggelar pesta kemenangan sebagai juara umum pon papua 2021,2,2
H-472,Video Studio NASA di Luar Angkasa Ditabrak oleh Benda Asing,video studio nasa di luar angkasa ditabrak oleh benda asing,video studio nasa di luar angkasa ditabrak oleh benda asing,2,2
H-473,Seorang Anak Meninggal Setelah Divaksinasi Covid-19,seorang anak meninggal setelah divaksinasi covid19,seorang anak meninggal setelah divaksinasi covid19,2,2
H-474,Lesti Terpilih Menjadi Bupati Cianjur,lesti terpilih menjadi bupati cianjur,lesti terpilih menjadi bupati cianjur,2,2
H-475,PDIP Usul Penutupan Pesantren Di Seluruh Indonesia,pdip usul penutupan pesantren di seluruh indonesia,pdip usul penutupan pesantren di seluruh indonesia,2,2
H-476,Pakar Keuangan Amerika Sebut Pinjol Ramai Peminat di Negara yang Suka Ngutang,pakar keuangan amerika sebut pinjol ramai peminat di negara yang suka ngutang,pakar keuangan amerika sebut pinjol ramai peminat di negara yang suka berutang,2,2
H-477,Kucing Berusia 30 Tahun atau Setara dengan 90 Tahun Umur Manusia,kucing berusia 30 tahun atau setara dengan 90 tahun umur manusia,kucing berusia 30 tahun atau setara dengan 90 tahun umur manusia,2,2
H-478,Lowongan Kerja Pegawai Baru Bank Indonesia,lowongan kerja pegawai baru bank indonesia,lowongan kerja pegawai baru bank indonesia,2,2
H-479, IPB Mengumumkan Ranking Sayuran Anti Kanker,ipb mengumumkan ranking sayuran anti kanker,ipb mengumumkan peringkat sayuran anti kanker,2,2
H-480,Jokowi Adalah Presiden Pertama yang Menginjakan Kaki di Tanah Papua,jokowi adalah presiden pertama yang menginjakan kaki di tanah papua,Jokowi adalah presiden pertama yang menginjakan kaki di tanah papua,2,2
H-481,Minum air es setelah makan membuat perut buncit,minum air es setelah makan membuat perut buncit,minum air es setelah makan membuat perut buncit,2,2
H-482,Pilot Pesawat Maskapai Delta Meninggal setelah Divaksin,pilot pesawat maskapai delta meninggal setelah divaksin,pilot pesawat maskapai delta meninggal setelah divaksin,2,2
H-483,Bahaya Mengonsumsi Susu dan Pisang Usai Makan Kepiting,bahaya mengonsumsi susu dan pisang usai makan kepiting,bahaya mengonsumsi susu dan pisang usai makan kepiting,2,2
H-484,Situs Pedulilindungiq.com dan Minta Dana Rp1 Juta Untuk Vaksin Covid-19,situs pedulilindungiqcom dan minta dana rp1 juta untuk vaksin covid19,situs pedulilindungiqcom dan minta dana rp 1 juta untuk vaksin covid19,2,2
H-485,Lowongan Kerja PT Otoritas Jasa Keuangan,lowongan kerja pt otoritas jasa keuangan,lowongan kerja pt otoritas jasa keuangan,2,2
H-486,Ramuan untuk Membersihkan Paru-paru dari Nikotin dan Tar,ramuan untuk membersihkan paruparu dari nikotin dan tar,ramuan untuk membersihkan paruparu dari nikotin dan tar,2,2
H-487,Air Jeruk Nipis dapat Membersihkan Nikotin dari Paru-paru,air jeruk nipis dapat membersihkan nikotin dari paruparu,air jeruk nipis dapat membersihkan nikotin dari paruparu,2,2
H-488,Dana Bantuan Sosial dari Pemerintah Melalui Pertamina Sebesar Rp150 Juta,dana bantuan sosial dari pemerintah melalui pertamina sebesar rp150 juta,dana bantuan sosial dari pemerintah melalui pertamina sebesar rp150 juta,2,2
H-489,"Innalillahi Wainnalillahi Rajiun! Kabar Duka Eko Patrio Meninggal Dunia, Akibat Kecelakaan Maut",innalillahi wainnalillahi rajiun kabar duka eko patrio meninggal dunia akibat kecelakaan maut,innalillahi wainnalillahi rajin kabar duka eko patrio meninggal dunia akibat kecelakaan maut,2,2
H-490,Akun Instagram dan Loker PT. Hutama Karya,akun instagram dan loker pt hutama karya,akun instagram dan loker pt hutama karya,2,2
H-491,Pendaftaran Pelatihan Bagi Calon Siswa di Panti Sosial Bina Remaja,pendaftaran pelatihan bagi calon siswa di panti sosial bina remaja,pendaftaran pelatihan bagi calon siswa di panti sosial bina remaja,2,2
H-492,Internet di Indonesia akan Mati Total dari Tanggal 25-30 September,internet di indonesia akan mati total dari tanggal 2530 september,internet di indonesia akan mati total dari tanggal 2530 september,2,2
H-493,Operasi Razia Lalu Lintas di Banjarmasin dalam Rangka Operasi Patuh Intan Pada 21 September 2021,operasi razia lalu lintas di banjarmasin dalam rangka operasi patuh intan pada 21 september 2021,operasi razia lalu lintas di banjarmasin dalam rangka operasi patuh intan pada dua puluh satu september 2021,2,2
H-494,Bantuan Rp189 Juta dari Pemerintah Melalui Pertamina,bantuan rp189 juta dari pemerintah melalui pertamina,bantuan rp189 juta dari pemerintah melalui pertamina,2,2
H-495,Pendaftaran Vaksin Nusantara melalui WhatsApp,pendaftaran vaksin nusantara melalui whatsapp,pendaftaran vaksin nusantara melalui WhatsApp,2,2
H-496,Email Surat Panggilan Tes Calon Karyawan PT Angkasapura 2,email surat panggilan tes calon karyawan pt angkasapura 2,email surat panggilan tes calon karyawan pt angkasapura dua,2,2
H-497,Mengonsumsi Labu Kuning Dapat Menyembuhkan Covid-19,mengonsumsi labu kuning dapat menyembuhkan covid19,mengonsumsi labu kuning dapat menyembuhkan covid19,2,2
H-498,Surat Edaran Penerima Bantuan Pesantren dari Kementerian Agama,surat edaran penerima bantuan pesantren dari kementerian agama,surat edaran penerima bantuan pesantren dari kementerian agama,2,2
H-499,WHO Perbaharui KriteriaUsia Pemuda Berusia 18-65 Tahun,who perbaharui kriteriausia pemuda berusia 1865 tahun,siapa perbaharui kriteriausia pemuda berusia 1865 tahun,2,2
H-500,Susu Kental Manis Tidak Boleh Diseduh dengan Air Panas,susu kental manis tidak boleh diseduh dengan air panas,susu kental manis tidak boleh diseduh dengan air panas,2,2
H-501,KPK temukan uang saat geledah rumah SBY,kpk temukan uang saat geledah rumah sby,kpk temukan uang saat geledah rumah Surabaya,2,2
H-502,Tautan Survei Berhadiah dari Shell untuk Merayakan HUT Ke-130,tautan survei berhadiah dari shell untuk merayakan hut ke130,tautan survei berhadiah dari cangkang untuk merayakan hut ke130,2,2
H-503,Pengumuman Undian Pemenang Hadiah oleh Shopee,pengumuman undian pemenang hadiah oleh shopee,pengumuman undian pemenang hadiah oleh shopee,2,2
H-504,Tautan Subsidi Pulsa dan Kuota Kemendikbud Periode Lebaran,tautan subsidi pulsa dan kuota kemendikbud periode lebaran,tautan subsidi pulsa dan kuota kemendikbud periode lebaran,2,2
H-505,"Campuran Air Kelapa Muda, Jeruk Nipis dan Garam dapat Menyembuhkan Covid-19",campuran air kelapa muda jeruk nipis dan garam dapat menyembuhkan covid19,campuran air kelapa muda jeruk nipis dan garam dapat menyembuhkan covid19,2,2
H-506,Minuman Probiotik Yakult Terbuat dari Sperma Sapi,minuman probiotik yakult terbuat dari sperma sapi,minuman probiotik yakult terbuat dari sperma sapi,2,2
H-507,Sambal Bawang Bisa Cegah Covid19,sambal bawang bisa cegah covid19,sambal bawang bisa cegah covid19,2,2
H-508,Surat Edaran Kompensasi Zona Merah oleh Bupati Temanggung,surat edaran kompensasi zona merah oleh bupati temanggung,surat edaran kompensasi zona merah oleh bupati temanggung,2,2
H-509,Foto Masuknya Seekor Buaya ke Rumah Warga Saat Banjir di Tanjung Pinang,foto masuknya seekor buaya ke rumah warga saat banjir di tanjung pinang,foto masuknya seekor buaya ke rumah warga saat banjir di tanjung pinang,2,2
H-510,Video Ribuan Jamaah Tanpa Masker Sambut Kedatangan Ustadz Abdul Somad di Tengah Pandemi Covid-19,video ribuan jamaah tanpa masker sambut kedatangan ustadz abdul somad di tengah pandemi covid19,video ribuan jamaah tanpa masker sambut kedatangan ustadz abdul somad di tengah pandemi covid19,2,2
H-511,Bill Gates mengatakan dia tidak akan divaksinasi dan CEO Pfizer juga menunda menerima vaksin covid-19,bill gates mengatakan dia tidak akan divaksinasi dan ceo pfizer juga menunda menerima vaksin covid19,tagihan gates mengatakan dia tidak akan divaksinasi dan ceo pfizer juga menunda menerima vaksin covid19,2,2
H-512,Minum Teh Dengan Batang Lada Dapat Sembuhkan Covid-19,minum teh dengan batang lada dapat sembuhkan covid19,minum teh dengan batang lada dapat sembuhkan covid19,2,2
H-513,Link Survei Pendirian Bank Syariah Muhammadiyah,link survei pendirian bank syariah muhammadiyah,tautan survei pendirian bank syariah muhammadiyah,2,2
H-514,Akun Whatsapp Cawabup Tanjabbar Hairan Meminta Sejumlah Uang,akun whatsapp cawabup tanjabbar hairan meminta sejumlah uang,akun WhatsApp cawabup tanjabbar hairan meminta sejumlah uang,2,2
H-515,Ambyaar Pemilik 201kg Sabu Dipetamburan Ternyata Anggota FPI,ambyaar pemilik 201kg sabu dipetamburan ternyata anggota fpi,ambyaar pemilik 201kg sabu dipetamburan ternyata anggota fpi,2,2
H-516,"Kewenangan Memberikan Label Halal Tidak Melalui MUI Lagi, Tapi oleh PT. Surveyor Indonesia",kewenangan memberikan label halal tidak melalui mui lagi tapi oleh pt surveyor indonesia,kewenangan memberikan label halal tidak melalui mui lagi tapi oleh pt surveyor indonesia,2,2
H-517,Soimah Adakan Giveaway Tahun Baru di Facebook,soimah adakan giveaway tahun baru di facebook,Soimah adakan giveaway tahun baru di Facebook,2,2
H-518,Whatsapp Kasir Indomaret Salah Input Voucher Games,whatsapp kasir indomaret salah input voucher games,WhatsApp kasir Indomaret salah input voucher permainan,2,2
H-519,Foto Seorang Wanita Asal Amerika Mengundang HRS Untuk Berdiskusi,foto seorang wanita asal amerika mengundang hrs untuk berdiskusi,foto seorang wanita asal amerika mengundang harus untuk berdiskusi,2,2
H-520,"Judul Artikel “Wagub DKI Bolehkan Warga Jual Terompet untuk Malam Tahun Baru, asalkan Tidak Ditiup”",judul artikel wagub dki bolehkan warga jual terompet untuk malam tahun baru asalkan tidak ditiup,judul artikel wagub dki bolehkah warga jual terompet untuk malam tahun baru asalkan tidak ditiup,2,2
H-521,Ustad Adi dan Somad Kaget 3 Pangeran Uni Emirat Arab Rayakan Natal Dengan Paus,ustad adi dan somad kaget 3 pangeran uni emirat arab rayakan natal dengan paus,ustad adi dan somad kaget 3 pangeran uni emirat arab rayakan natal dengan paus,2,2
H-522,"Video Siaran Langsung “Kapal Tenggelam, 1 Januari 2021”",video siaran langsung kapal tenggelam 1 januari 2021,video siaran langsung kapal tenggelam 1 januari 2021,2,2
H-523,kesimpulan Rob Oswald: COVID 19 adalah khayalan dan fiktif,kesimpulan rob oswald covid 19 adalah khayalan dan fiktif,kesimpulan rob oswald covid 19 adalah khayalan dan fiktif,2,2
H-524,mulai tanggal 31-12-2020 pukul 06.00 sore sampai dengan tanggal 01-01-2021 akan dilakukan mati lampu total,mulai tanggal 31122020 pukul 0600 sore sampai dengan tanggal 01012021 akan dilakukan mati lampu total,mulai tanggal 31122020 pukul 0600 sore sampai dengan tanggal 01012021 akan dilakukan mati lampu total,2,2
H-525,Istora Senayan Dijadikan Tempat Penampungan Pasien Covid-19,istora senayan dijadikan tempat penampungan pasien covid19,istora senayan dijadikan tempat penampungan pasien covid19,2,2
H-526,Vaksin Sinovac Covid-19 yang akan di suntikkan kepada warga hanya untuk kelinci percobaan,vaksin sinovac covid19 yang akan di suntikkan kepada warga hanya untuk kelinci percobaan,vaksin sinovac covid19 yang akan di suntikkan kepada warga hanya untuk kelinci percobaan,2,2
H-527,Video “Mentri agama Yaqut di usir ketika hadir di tanah melayu”,video mentri agama yaqut di usir ketika hadir di tanah melayu,video mentri agama yaqut di usir ketika hadir di tanah melayu,2,2
H-528,Video “BERITA TERBARU HARI INI ~ AKHIRNYA DI PUTUSKAN FPI BUKAN ORMAS TERLARANG”,video berita terbaru hari ini akhirnya di putuskan fpi bukan ormas terlarang,video berita terbaru hari ini akhirnya di putuskan fpi bukan ormas terlarang,2,2
H-529,Indonesia Tidak Bergabung ke Aliansi Strategis Militer Islam Sunni Karena Dianggap Merapat ke Komunis China,indonesia tidak bergabung ke aliansi strategis militer islam sunni karena dianggap merapat ke komunis china,indonesia tidak bergabung ke aliansi strategis militer islam sunni karena dianggap merapat ke komunis china,2,2
H-530,Wakil Wali Kota Surabaya Terpilih Armuji Meninggal Dunia,wakil wali kota surabaya terpilih armuji meninggal dunia,wakil wali kota surabaya terpilih armuji meninggal dunia,2,2
H-531,Raja Thailand panggil ulama Islam baca doa tolak bala covid 19,raja thailand panggil ulama islam baca doa tolak bala covid 19,raja thailand panggil ulama islam baca doa tolak bala covid 19,2,2
H-532,Vaksin Sinovac Mengandung Sel Kera Hijau Afrika,vaksin sinovac mengandung sel kera hijau afrika,vaksin sinovac mengandung sel kera hijau afrika,2,2
H-533,Tulisan dr. Siti Fadillah terkait Pengobatan Covid-19,tulisan dr siti fadillah terkait pengobatan covid19,tulisan dokter siti fadillah terkait pengobatan covid19,2,2
H-534,"Video “POLISI CABANG TIONGKOK, Polisi China Pinda Ke Indonesia”",video polisi cabang tiongkok polisi china pinda ke indonesia,video polisi cabang tiongkok polisi china pinda ke indonesia,2,2
H-535,Jokowi Mendapat Gelar AMIRUL KAZZAB,jokowi mendapat gelar amirul kazzab,Jokowi mendapat gelar amirul kazzab,2,2
H-536,Sultan Hassanal Bolkiah akan beli Singapura dan usir etnis China karena menolak Presiden Halimah,sultan hassanal bolkiah akan beli singapura dan usir etnis china karena menolak presiden halimah,sultan hassanal bolkiah akan beli singapura dan usir etnis china karena menolak presiden halimah,2,2
H-537,Halte Palu Arit di Cileungsi,halte palu arit di cileungsi,halte palu arit di cileungsi,2,2
H-538,Titik Api diam terlihat di Gunung Merapi,titik api diam terlihat di gunung merapi,titik api diam terlihat di gunung merapi,2,2
H-539,Hendra kurniawan Anak kandung jie ping (presiden china),hendra kurniawan anak kandung jie ping presiden china,hendra kurniawan anak kandung jie ping presiden china,2,2
H-540,Pesan Berantai Tautan Kuota Belajar 75GB Berlaku Sampai 10 Januari 2021,pesan berantai tautan kuota belajar 75gb berlaku sampai 10 januari 2021,pesan berantai tautan kuota belajar 75gb berlaku sampai 10 januari 2021,2,2
H-541,Wanita Ini B3rhubungan Dengan Seekor Babi Hingga Menghasilkan Anak,wanita ini b3rhubungan dengan seekor babi hingga menghasilkan anak,wanita ini b3rhubungan dengan seekor babi hingga menghasilkan anak,2,2
H-542,Inalilahi wainailaihi rojiun Telah meninggal..HRS..Di dalam sel karna kena covid…,inalilahi wainailaihi rojiun telah meninggalhrsdi dalam sel karna kena covid,inna lillahi wainailaihi rojiun telah meninggalhrsdi dalam sel karena kena covid,2,2
H-543,Pinjaman Dana Bantuan Covid-19 oleh Bupati Pasuruan Irsyad Yusuf,pinjaman dana bantuan covid19 oleh bupati pasuruan irsyad yusuf,pinjaman dana bantuan covid19 oleh bupati pasuruan irsyad yusuf,2,2
