slang,baku,index
tannya,tanya,11221
yups,ya,11222
romahon,romahan,11224
trims,terima kasih,11226
disudut,di sudut,11227
brontaqqq,berontak,11228
checkkk,cek,11230
ucuh0,ucuh,11231
kpanpun,kapan pun,11232
spotbet,spot bet,11233
betmen,batman,11236
mbok2,mbok-mbok,11237
67thn,67 tahun,11238
masukk,masuk,11239
instropeksi,introspeksi,11240
herann,heran,11241
boleeeeh,boleh,11242
mntapp,mantap,11243
tungganngi,tunggu,11244
opplany,oplen,11245
seriesnya,seri,11247
carany,caranya,11248
diterusin,dilanjutkan,11250
otakny,otaknya,11251
bokepp,bokep,11252
giniin,gini,11253
dimaafin,dimaafkan,11254
yoii,yoi,11255
versii,versi,11256
almarhummah,almarhumah,11257
posoae,posisi,11258
dikeu,dikep,11259
pisui,pisau,11261
ghcb,ghibah,11262
ahsani,ahsan,11263
conner,corner,11264
ddlm,di dalam,11265
nengkono,nenggono,11266
frespin,fresh,11267
biyasah,biasanya,11268
gett,get,11270
lolosin,lolosi,11272
cukurr,cukup,11276
itunenen,itu nenen,11278
50nya,50-nya,11279
dnko5c,denganku,11281
ufc,UFC,11282
mndi,mandi,11283
sratus,seratus,11284
alasanya,alasannya,11285
logikaa,logika,11291
54jt,54 juta,11292
dgerbang,di gerbang,11293
tsukoyomi,Tsukuyomi,11294
nyakiti,menyakiti,11295
anakny,anaknya,11303
20an,20-an,11306
ngerinyee,ngerinye,11307
klakuan,kelakuan,11308
biyuh2,biyuh,11312
boongan,bohong,11313
pinterr,pintar,11314
alllahuakbarrrr,Allahu Akbar,11317
heree,di sini,11318
ahaahhahha,haha,11320
nyapu,menyapu,11321
apaansih,apa sih,11322
orocimaru,Orochimaru,11323
beda2,beda,11324
ouhh,oh,11326
sebarin,sebarkan,11327
reasons,alasan,11328
nytanya,nyatanya,11329
awowkwok,awok-awok,11331
trsbt,tersebut,11333
riques,minta,11334
netessss,netes,11335
akun2,akun,11336
frrr,fre,11337
nackal,nakal,11340
ot3n,oten,11431
riquesss,request,11432
syg19,sayang,11433
regues,request,11438
nooo,tidak,11440
jk,jika tidak,11442
bgtttt,banget,11443
gantengg,ganteng,11444
oppylan,opilan,11445
kyp,keep,11447
terbnyk,terbaik,11448
abgkuh,abgku,11449
muncrat2,muncrat,11451
dilingkungan,di lingkungan,11452
disertikat,disertifikat,11455
siyap,siap,11456
iyeh,iya,11458
kemuakkan,kemuakan,11460
cowk,cowok,11491
bisa2,bisa-bisa,11492
manek,manik,11493
viqiah,viyah,11494
disore,di sore,11496
dibolehin,dibolehkan,11498
behaviour,perilaku,11499
ngewelah,ngewe,11500
hany,hanya,11502
ngunuw,ngunyu,11503
sjhnk,sahabat,11504
larisin,melariskan,11506
lgsung,langsung,11508
fate,takdir,11509
saranin,menyarankan,11510
lopez,Lopez,11511
menggajih,menggaji,11513
weee,we,11515
meninggakan,meninggalkan,11516
abal2nya,abal-abal,11517
ngepretnya,ngepret,11518
mudh,mudah,11519
klrga,keluarga,11520
nasakom,nasionalis-komunis,11521
wlpun,walaupun,11522
amezing,menakjubkan,11523
ngehunat,menghuni,11525
1x2,satu kali dua,11526
londoy,londo,11527
iloveu,aku mencintaimu,11528
mareka,mereka,11529
ilfil,tidak suka,11530
breer,bro,11531
nguece,mengejek,11532
umunya,umumnya,11533
rusakkk,rusak,11534
diseluruh,di seluruh,11536
wkwkwkws,tertawa,11537
ngasiii,mengasihi,11538
nandaaaa,nanda,11540
yaluk,ya lu,11541
nyayi,menyanyi,11542
mantepppppp,mantap,11543
matte,mat,11545
atass,atas,11546
nie,ini,11547
muantup,menakjubkan,11548
tegu,tega,11550
ketrigger,terpicu,11581
memgandalkan,mengandalkan,11582
ninggal,meninggal,11583
juan,jualan,11585
bdonya,bodohnya,11587
terang2an,terang-terangan,11589
mungki,mungkin,11592
joinn,bergabung,11593
sigam,siga,11595
louder,lebih keras,11597
nginiki,ingin ini,11600
panteng,pantang,11601
kejawa,ke Jawa,11602
seneng,senang,11603
harmony,harmoni,11604
adilll,adil,11606
tobrut,toket brutal,11608
by,oleh,11609
dimnaa,di mana,11611
rasany,rasanya,11619
diposes,diproses,11620
capital,modal,11622
masze,mas,11623
ciwey,ciwi,11624
belummm,belum,11626
cost,biaya,11627
nglrg,ngelarang,11628
bulet,bulat,11630
iihhhhjhh,ih,11631
pakgrilll,pak grill,11633
easy,mudah,11636
baikotdewa,baikot dewa,11638
kter,keter,11640
wooiiii,woi,11671
astagah,astaga,11672
30x,30 kali,11675
cudwkz,cudah,11676
review,ulasan,11678
hini,ini,11679
yng,yang,11680
jualin,jual,11681
siabang,si abang,11683
hoyyyy,hoy,11684
apatemen,apartemen,11685
kwalitass,kualitas,11686
racist,rasis,11687
pembagunan,pembangunan,11688
idealisss,idealis,11689
tons,ton,11690
estrovertidas,ekstrovert,11691
uwais,Uwais,11692
idoll,idol,11693
sebelh,sebelah,11695
bgtuu,banget,11697
gbkln,gabakalan,11698
ketoko,ke toko,11699
arex,areks,11701
smile,senyum,11702
akur2,akur,11703
wkakwkaoakoo,tertawa,11704
tumpeh,tumpah,11705
dratis,drastis,11706
gerakin,gerakkan,11707
tengk,tengok,11708
zaaaa,sangat,11709
setlah,setelah,11710
6m,enam meter,11711
insane,gila,11712
royong,gotong,11713
ripyou,selamat tinggal,11714
hits,populer,11715
setiya,setia,11716
javanese,Jawa,11718
30s,tiga puluh,11719
terkokoh,kokoh,11720
conan,Conan,11721
brompton,Brompton,11722
anjiir,anjing,11725
miingatt,pergi,11726
jawakarta,jakarta,11732
nguakak,terbahak-bahak,11733
sukkerrp,subscribe,11734
yalani,"ya, lani",11735
cuhh,cuh,11737
akumaa,akuma,11738
pembikin,pembuat,11740
duni,dunia,11741
cewknya,cewek,11743
emanya,emak,11746
movement,gerakan,11747
protect,melindungi,11750
gweh,gue,11751
pergian,pergi,11752
watsapnya,whatsapp,11754
disimpen,disimpan,11755
sepemikirann,sepemikiran,11758
selflove,cinta diri,11760
astagfirulah,astaghfirullah,11761
yesuus,yesus,11762
ikutan2,ikutan,11763
boskuh,bosku,11764
hlooo,halo,11765
gila2,gila,11771
mayatpun,mayat pun,11774
bellatobing,belatobing,11779
anjjay,anjay,11780
kasussss,kasus,11782
whay,why,11783
darusallam,darussalam,11785
160cm,160 cm,11786
pndh,pindah,11791
kaaakkk,kak,11792
sehancur2,sehancur,11793
ternak2nya,ternaknya,11795
amaa,ama,11797
tibakk,tiba,11798
wkjkjjj,wkwkwk,11800
anjirrrrr,anjir,11802
kslahan,kesalahan,11803
difix,diperbaiki,11804
nafla,nafa,11806
lahirrrrr,lahir,11812
pertontonan,pertunjukan,11816
puwasa,puasa,11817
dkat,dekat,11818
hlus,halus,11819
tnp,tanpa,11820
sdangkan,sedangkan,11822
keaadaan,keadaan,11823
seksu,seks,11824
angkutin,angkut,11826
wdym,what do you mean,11827
ngelempar,melempar,11828
posto,pos,11829
rujakkkk,rujak,11830
hahahhahahah,hahaha,11832
18cm,18 cm,11833
angni,angin,11834
nyeeeee,nye,11835
suweger,seger,11836
ndlewero,ndlewer,11837
beneran,benar,11838
brcnd,bercanda,11840
promosiin,promosikan,11841
kristennnnnnnn,kristen,11842
produk2,produk,11843
oon,bodoh,11844
hpnya,hp,11845
atheisme,ateisme,11846
sekaliam,sekali,11849
brusaha,berusaha,11852
nanggiss,nangis,11853
ahahahaha,ahahaha,11854
tanggungsi,tanggung,11855
ngesek,gesek,11857
agahhhh,agak,11858
daughters,putri,11859
sekelmu,sekolahmu,11860
bib,bibi,11862
dayut,daya,11864
kumaha,bagaimana,11866
kebuka,terbuka,11867
kesiapa,siapa,11870
tigreal,tiga,11871
wahahahaha,wahaha,11872
yauda,yaudah,11873
effortnya,usaha,11874
mirip2,mirip-mirip,11875
bw,bawa,11876
pangkalnya,pangkal,11877
dugemnya,dugem,11878
kontener,kontainer,11880
sagne,sange,11881
lakuinnya,lakukan,11885
domfet,dompet,11886
kihh,kih,11887
tngk,tinggal,11888
hahhaha,hahaha,11890
msih,masih,11891
minyakx,minyak,11892
ajha,aja,11893
tmpung,tampung,11894
kayana,kayaknya,11897
huahahaha,huahaha,11899
mintaj,minta,11900
besinya,besi,11901
tdkr0ttyitg,tidak,11902
draks,drama,11903
yhaa,ya,11906
rambit,rambut,11907
oddsnya,odds,11908
ginian,gini,11910
settingannya,settingan,11943
menghinadan,menghinakan,11946
kibooyy,kiboy,11947
sepedermen,spiderman,11949
tahoon,tahun,11950
knpi,kenapa,11951
sekepo,sekepoin,11952
anjjjjgg,anjing,11954
nakalnya,nakal,11955
volowers,followers,11956
sett,set,11959
pamerrr,pamer,11965
rempah2,rempah-rempah,11966
sentinelnya,sentinel,11967
heheh,hehe,11968
sanettt,sanet,11969
gratification,gratifikasi,11971
nyuak,nyuap,11972
tethibur,terhibur,11973
lambene,lambat,11974
bangorrr,bangor,11975
miserable,miserabel,11978
tumnail,thumbnail,11980
ampuuuuunnn,ampun,11981
oksorry,oh maaf,11982
video2,video,11983
trsalurkan,disalurkan,11984
ytta,yang tau tau aja,11986
niii,ini,11989
icibosnya,icibos,11991
ngilangin,menghilangkan,11992
bangttt,banget,11993
nenekny,neneknya,11997
perthankan,pertahankan,11998
betullll,betul,12000
truee,TRUE,12001
genz,gen z,12007
elephant,gajah,12008
islamm,islam,12009
sosmed,media sosial,12010
creation,karya,12012
digandengin,digandeng,12015
pliiss,please,12016
jassica,jessica,12017
menyanjung2,menyanjung,12019
coook,cok,12022
yungg,young,12023
qt,kita,12025
yaakk,ya,12028
guah,gua,12029
finishhim,finish him,12061
uncomfortable,tidak nyaman,12063
cermelang,cemerlang,12064
cmiw,correct me if I'm wrong,12066
fakk,fak,12067
baanget,banget,12068
ow,oh,12069
peanpai,papan,12071
mudah2n,mudah-mudahan,12072
right,benar,12073
adeeemmm,adem,12074
search,cari,12076
koklu,kok lu,12077
bandod,bandot,12078
kemanusian,kemanusiaan,12081
lingnyalh,lingkungan,12082
gacoor,gacor,12083
understand,mengerti,12084
ujungaspalpondokgede,ujung aspal pondok gede,12085
hals,hal,12089
kedepan,ke depan,12090
diprivat,diprivasi,12092
neangan,mencari,12094
scra,suka,12095
mempertankan,mempertahankan,12096
ngerakeun,menakutkan,12097
prtanyaanku,pertanyaanku,12098
sist,sister,12099
pmbdohan,pembodohan,12101
biutifull,cantik,12102
soale,soalnya,12103
utk,untuk,12104
iphong,iphone,12106
musnahkan,memusnahkan,12107
menadrinya,menyadarinya,12108
nglarang,melarang,12109
funny,lucu,12111
kutahh,kita,12113
partyyyyy,pesta,12114
rudee,kasar,12115
nafkahin,memberi nafkah,12117
heelsnya,sepatu hak tinggi,12118
bismo,bisma,12120
denii,deni,12121
cameramen,kamerawan,12123
nolongin,menolong,12126
italy,italia,12127
sumpaaaa,sumpah,12129
ijin2nya,izinnya,12130
nyebutin,menyebutkan,12131
mengahayal,menghayal,12134
setngahnya,setengahnya,12135
penh,penuh,12137
gerasa,merasakan,12138
ticket,tiket,12139
apkah,apakah,12141
berfaedahh,berfaedah,12142
5jari,lima jari,12143
sesiapapun,siapa pun,12146
stg,segala,12147
nope,tidak,12148
sibotak,botak,12149
sulplier,pemasok,12211
msuk,masuk,12215
joget2,joget-joget,12216
diriii,diri,12218
low,rendah,12219
momy,mama,12220
gulumu,gulu,12222
ao,ayo,12223
letakan,letakkan,12224
jumpscer,jump scare,12225
ktpnya,KTP-nya,12226
47rb,47 ribu,12227
19jt,19 juta,12228
bgus,bagus,12230
muscle,otot,12231
tebbel,tebal,12232
heuncet,hancur,12235
gppa,gpp,12239
ngina,hina,12240
hbdd,ultah,12241
krang,kurang,12242
mncul,muncul,12243
iangan,jangan,12244
rayain,rayakan,12245
ngelanjutin,melanjutkan,12246
ikky,iki,12247
pragmatic,pragmatis,12249
sisa2,sisa-sisa,12250
dikiriin,dikirim,12251
qutbah,khutbah,12252
faedahny,faedahnya,12253
sbrnya,sebenarnya,12254
boy,anak laki-laki,12255
kerass,keras,12256
anggia,anggaran,12258
disurga,di surga,12259
haa,ha,12260
deje,deh,12261
3k,terima kasih,12262
ketinggalaan,ketinggalan,12264
tubumu,tubuhmu,12265
edision,edisi,12266
aslikah,asli,12267
ngedelman,mendapatkan,12269
gasii,gasi,12272
tenangg,tenang,12278
owner,pemilik,12280
mntannya,mantannya,12281
bsk,besok,12282
saleum,salam,12283
slngkangan,selangkangan,12284
menerussss,menerus,12286
begaris,bergaris,12287
dipengadilan,di pengadilan,12289
try,coba,12290
jepeeee,jepe,12294
lakilaki,laki-laki,12295
drpd,daripada,12296
through,melalui,12297
ngluarin,mengeluarkan,12298
text,teks,12299
koq,kok,12300
menjijijkkan,menjijikkan,12301
cawenya,ceweknya,12303
apaain,apa,12304
ngelipet,ngelipat,12305
jall,jalan,12307
irungg,irung,12309
dio,dia,12310
janlup,jangan lupa,12311
sedihnyaaa,sedihnya,12312
kekurangajaran,kekurangan ajaran,12314
subtitles,subtitel,12315
chss,ciss,12316
assalamualikum,assalamualaikum,12317
bgsat,bangsat,12319
pulangg,pulang,12320
manzia,manusia,12322
aktinh,akting,12323
prthnin,pertahankan,12327
shop,toko,12329
barcelona,Barcelona,12330
juaraaaa,juara,12331
berpuluh2,berpuluh-puluh,12332
gitu2,gitu-gitu,12335
sngge,sengge,12338
syekaliii,sekali,12340
manaa,mana,12341
bgk,banget,12342
nach,nah,12347
balasannnya,balasannya,12348
sndrian,sendrian,12352
bayarin,bayar,12355
anjiiirrr,anjir,12357
expression,ekspresi,12359
cewwk,cewek,12361
tokoh2,tokoh-tokoh,12362
lambungg,lambung,12364
sanaa,sana,12365
bahas2,bahas-bahas,12366
current,saat ini,12368
ketimggalan,ketinggalan,12369
keblabasan,keblablasan,12370
sekali2,sekali-sekali,12372
pacarlu,pacar lu,12373
broken,rusak,12375
liburrr,libur,12376
iphone15,iPhone 15,12378
ee,eh,12380
ghik,gik,12381
ngaku2,ngaku-ngaku,12382
engineering,rekayasa,12383
menangin,menangkan,12384
domb,domba,12385
anggita,anggota,12386
ikutin,ikuti,12387
dibesar,dibesarkan,12388
motivation,motivasi,12389
handoko,Handoko,12390
munafikun,munafik,12392
penipuh,penipu,12393
nonto,nonton,12395
sepinter,sepintar,12396
yaopo,ya apa,12397
masinglah,masing-masing,12398
kesndir,kesindir,12400
tiktoknyah,TikTok-nya,12401
jawapan,jawaban,12402
siaapa,siapa,12403
dihancurin,dihancurkan,12404
haqiqi,hakiki,12406
dihujatt,dihujat,12407
anyingg,anjing,12409
tauk,tau,12412
lagih,lagi,12413
nw,now,12414
betuul,betul,12415
ehhh,eh,12416
berbuih2,berbuih-buih,12417
awareness,kesadaran,12418
viktor,Viktor,12419
malsh,malas,12421
change,ubah,12423
tdk,tidak,12424
alazim,alamin,12425
ooohh,oh,12426
pdiperjuangan,perjuangan,12427
tnggung,tanggung,12428
fto,foto,12429
pakdeh,pakde,12430
masseee,mas,12431
k0nt0l,kontol,12432
cumamaubilang1hal,cuma mau bilang satu hal,12434
garingg,kering,12435
kumakarep,saya mau,12436
setrees,setres,12437
kuwii,kuy,12439
akwkkwkwk,akwkwkwk,12441
mamii,mami,12442
akhirrrnyaaa,akhirnya,12443
prees,press,12445
awlnya,awal,12447
response,respon,12448
everyone,semua orang,12449
coyyyyy,coy,12450
bngettt,banget,12541
saringgan,saringan,12542
mende,mendek,12543
mngtur,mengatur,12544
ngontennya,kontennya,12545
26k,26 ribu,12546
tllu,telalu,12553
rambutnyaa,rambutnya,12554
itou,itu,12557
salamtoleransijugakawan,salam toleransi juga kawan,12558
uat,buat,12565
bodyx,body,12567
nikmatan,nikmat,12569
ngeja,mengeja,12570
code,kode,12572
dipaksain,dipaksakan,12573
dinegara2,di negara-negara,12574
edannnn,edan,12575
ohskhnkl,oh saking,12577
kayyaa,kayak,12579
smalem,semalam,12580
badmood,bad mood,12581
syaiton,syaitan,12582
wkwkwkwkwkwkwkwwo,wkwkwkw,12583
syaira,syair,12584
kasihh,kasih,12585
clisten,dengarkan,12586
diembat,diambil,12587
lecehin,melecehkan,12588
cwona,cewek,12589
pekob,peko,12591
ngacooo,ngaco,12592
dijelekin,dijelekkan,12593
mgnkin,mungkin,12594
black,hitam,12595
madep,menghadap,12596
coment,komentar,12600
njegalin,menjegal,12601
bajet,budget,12602
tahek,taik,12604
manantang,menantang,12605
bargesnya,barang gesek,12606
mmbawa,membawa,12607
njiiir,anjing,12608
hidau,hijau,12609
tegaaan,tegaan,12610
card,kartu,12611
apa2nya,apa-apanya,12612
nahkan,nakan,12613
tempat2,tempat-tempat,12614
glowwing,glowing,12615
ngeprank,memperdaya,12616
gbole,gak boleh,12617
payahhhh,payah,12619
orah,orang,12620
cieleee,cilik,12621
ahahahah,ahahaha,12622
tonggo,tetangga,12623
p3l3c3h4n,pelecehan,12624
ngrasakno,merasakan,12625
perlulah,perlu,12626
donne,don,12629
keraaaaaaaa,kera,12630
masud,maksud,12631
kenyel,kenyal,12632
insecure2,insecure,12634
90persen,90 persen,12636
mubgkin,mungkin,12638
wongg,wong,12642
imdone,I'm done,12645
yoo,yo,12646
room,ruang,12648
kuattttttttttty,kuat,12649
waaah,wah,12651
diawal,di awal,12653
urong,urung,12654
paradox,paradoks,12655
hiyaaa,hiya,12656
banyak2,banyak-banyak,12657
bagin,bagian,12660
tubuhx,tubuh,12692
pulau7,pulau,12697
anuu,anu,12699
merried,married,12700
ganyambung,tidak nyambung,12701
trs2an,terusan,12702
sikaaat,sikap,12703
jirrrr,jir,12704
nyoba,mencoba,12705
prabowo,Prabowo,12706
mempunya,memiliki,12707
jugaaakkk,juga,12709
wkwkwkkw,wkwkwkw,12710
infonyaa,infonya,12712
mlmnya,malamnya,12713
serndh,serendah,12714
kedunia,ke dunia,12715
wilayahny,wilayahnya,12716
kampunggggg,kampung,12719
dmna,di mana,12720
ooooops,oops,12721
rayaa,rayah,12722
membantay,membantai,12723
kelass,kelas,12724
artinyaa,artinya,12725
bagitau,beritahu,12726
blkg,belakang,12727
modalllll,modal,12730
waaaawh,wow,12731
jenise,jenis,12732
dhurong,durong,12733
mustahal,mustahil,12735
pumpung,pompong,12737
azzahrah,azzahra,12738
mouth,mulut,12739
negra,negara,12740
blurr,buram,12741
ngilangi,menghilangkan,12743
xde,tidak ada,12745
leiterali,literal,12748
sepememikiran,sepemikiran,12749
terapist,terapis,12752
didulukan,didahulukan,12753
siall,sial,12754
kirimen,kiriman,12755
astagfirallah,astaghfirullah,12756
beresan,beres,12759
lanangan,laki-laki,12760
cemaaaaaaaaaas,cemas,12761
lanjot,lanjut,12763
ishhhhh,ish,12764
analys,analisis,12766
bye,selamat tinggal,12768
glk,gila,12769
tokay,tokai,12770
baangeeet,banget,12772
publick,publik,12773
gemeteran,gemetar,12774
podo,pada,12775
diumbar2,diumbar,12776
alert,waspada,12779
30pagi,30 pagi,12781
saailiin,saling,12782
trkmakasih,terima kasih,12784
umh,um,12785
morembek,merembek,12786
bolehin,bolehkan,12787
bgtu,begitu,12789
bumj,bump,12791
berapaan,berapa,12792
dibodohin,dibodohi,12793
kontenn,konten,12794
klz,kelas,12795
kkb,KKB,12797
brrti,berarti,12799
dicabarin,dicoba,12801
laaah,lah,12803
nolong,menolong,12805
bangsattt,bangsat,12806
heal,sembuh,12807
nenennya,nenen nya,12808
tinggalin,tinggalkan,12809
babbu,babu,12812
damnnnn,damn,12814
spti,seperti,12815
babys,bayi,12816
8ni,ini,12817
ust,ustadz,12818
tbal,tebal,12819
nyieun,membuat,12820
sbrp,seberapa,12821
amittt,amit,12823
semuaa,semua,12825
ketawain,ketawakan,12827
paraaahh,parah,12828
videox,video,12829
mainny,mainnya,12831
gaeys,guys,12832
kambemg,kambing,12834
kureng,kurang,12835
bodoknya,bodoh,12837
direkaman,direkam,12839
brcnda,bercanda,13053
jt,juta,13056
boleeh,boleh,13057
balesin,balas,13062
iraa,ira,13063
mashaallah,masha Allah,13066
dekk,dek,13070
bosssssss,bos,13071
prettt,pret,13072
ronaldo,Ronaldo,13073
ekoo,eko,13074
penanyanya,penanya,13076
ninggalin,meninggalkan,13078
ngelewer,nge-lewer,13079
ono,ada,13080
sakitt,sakit,13084
kokkk,kok,13085
yuuukkkk,yuk,13086
smanya,semuanya,13087
polisiiiiiiii,polisi,13088
lucuny,lucunya,13093
puasany,puasanya,13095
pilisss,pilih,13097
krudung,kerudung,13099
mancing2,mancing,13104
biasee,biasa,13105
terimakasih,terima kasih,13107
ngarahh,ngarah,13110
wkwkwkkwk,hahaha,13171
spya,supaya,13172
motoran,bermotor,13173
brang,barang,13174
oranh,orang,13175
dsni,di sini,13176
gweliii,gila,13177
pyd,payudara,13178
soekarnoe,Soekarno,13179
priset,harga,13180
ditupu,ditutup,13181
maenan,permainan,13182
depannya,depan,13183
bngat,banget,13184
berita2,berita,13185
digubris,diabaikan,13186
maybe,mungkin,13187
selebat,cepat,13188
haeeeee,hai,13189
bodyyy,bodi,13190
mukany,mukanya,13191
belii,beli,13192
nusapeninda,Nusantara,13193
gilirn,giliran,13194
siapasi,siapa,13195
holly,suci,13196
normalized,normal,13197
raduwe,radu,13198
ngamuk,marah,13199
elegaan,elegan,13200
nagus,bagus,13201
turunin,turunkan,13204
kancaku,kawanku,13205
sbntr,sebentar,13206
itll,it'll,13208
sgguh,sungguh,13209
skuyliving,school living,13211
hngus,hangus,13212
aktee,aktif,13213
pliiisss,please,13216
bener2,benar-benar,13218
trang,terang,13219
jabatanya,jabatannya,13220
papuan,Papua,13221
ditidurin,ditiduri,13222
ngrhina,menghina,13223
nazzisnyee,najisnya,13226
trpancing,terpancing,13227
ngaruuuuu,ngaruh,13228
nazizz,najis,13229
mitology,mitologi,13230
manizz,manis,13232
dapt,dapat,13241
namany,namanya,13242
ngizinin,mengizinkan,13245
mmg,memang,13246
mantaaaapp,mantap,13249
dir8,direct,13252
nolak,menolak,13253
wn,warga negara,13254
nyangka,menduga,13256
yessss,ya,13257
brta,berita,13260
jng,jangan,13261
secapat,secepat,13262
ngewewww,ngewe,13263
blkang,belakang,13264
kent,ngewe,13265
pulnya,pulennya,13271
booossss,bos,13274
jatohnya,jatuhnya,13276
maluinnn,malu,13281
lgi,lagi,13283
gilaa,gila,13284
ndadak,dadak,13285
kmrenn,kemarin,13286
hrus,harus,13291
guwedi,gue,13292
astgaaa,astaga,13293
cihuyyyyyyyyy,cihuy,13295
uuuuuuhhhh,uh,13296
ld,lalu,13297
peraktekin,praktekkan,13298
radhen,raden,13299
meilanieeeeee,melanie,13300
kyk,kayak,13301
ngtt,nggak,13302
jajjajajajajj,jajajaja,13305
colikiawan,colikiwan,13306
gapernah,gak pernah,13307
kulitx,kulit,13308
titoktitok,tiktok,13309
lw,lu,13310
mnang,menang,13313
celanadalamnya,celana dalamnya,13314
astagfirullahalagim,astaghfirullah,13316
facebok,facebook,13317
ngebtod,ngentot,13318
krj,kerja,13319
alistebal,alis tebal,13320
ucpn,ucapan,13351
hdh,haduh,13352
mentokk,mentok,13356
kelebihannye,kelebihan,13357
bengekk,bengek,13358
hyhhuhuhu,hahaha,13359
anjjr,anjir,13360
hayooo,hayu,13361
sugeh,sugih,13364
iniiii,ini,13365
alangka,alangkah,13372
apahan,apa,13373
koreksilagi,koreksi lagi,13375
pedalamannya,pedalaman,13380
ngasan,ngasal,13381
apny,apa,13383
dipijitin,dipijat,13384
pikiranq,pikiran,13385
ngelenturin,ngelenturkan,13386
iyaudah,iya sudah,13388
maluuu,malu,13391
ngegibah,bergibah,13392
barengin,bareng,13394
awoakwoakwon,hahaha,13395
beby,baby,13396
kareta,kereta,13397
wooo,wo,13398
buatlahh,buatlah,13401
yakalik,ya kali,13403
etic,etik,13405
gblogg,goblok,13406
kacang2nya,kacangnya,13407
mnggu,minggu,13411
2hari,dua hari,13413
sex,seks,13417
ramein,ramai,13419
naon,apa,13421
selamt,selamat,13424
yghancur,hancur,13425
kubilangg,kubilang,13426
ngulik,mengulik,13427
jelekk,jelek,13431
harusnyakan,harusnya,13433
dibooking,dipesan,13436
gda,tidak ada,13439
sacriibe,sahabat,13442
gundiiik,gundik,13443
gadiskah,gadis kah,13444
pasa,pasar,13445
bhkn,bahkan,13449
menjelas,menjelaskan,13453
ngomongin,ngomong,13454
makassa,makassar,13456
anjayy,anjay,13458
custom,kustom,13459
couple,pasangan,13460
aplaa,apalah,13463
was2lah,wasilah,13464
taw,tau,13466
beghen,bahan,13471
ngebill,menagih,13472
mentrin,menteri,13473
nat,nasi,13474
spirite,spirit,13475
iiluen,iluen,13476
gataunya,katanya,13477
sbernya,sebenarnya,13478
daddaa,dadah,13479
woilahh,voila,13480
uuu,uu,13481
lentik2,lentik-lentik,13483
membamgun,membangun,13485
kristian,Kristen,13487
matic,matik,13488
mpepwk,mepok,13491
nggatheli,menggertak,13492
dlu,dulu,13494
grils,gadis,13495
itwill,itu akan,13497
komplik,komplikasi,13498
langanan,langganan,13499
jrang,jarang,13500
sdng,sedang,13501
seenggakny,seenggaknya,13502
wrga,warga,13504
videoo,video,13505
indahna,indahnya,13508
rkok,rokok,13510
balikny,baliknya,13511
wouldve,would've,13512
flimnya,filmnya,13516
sinyale,sinyalnya,13521
difikir,dipikir,13522
lebiih,lebih,13523
jugo,juga,13524
semangaaaat,semangat,13525
bubarin,bubarkan,13526
monkey,monyet,13528
sprti,seperti,13530
autoh,auto,13532
dalama,dalam,13535
aahh,ah,13537
dketin,deketin,13539
canttink,cantik,13540
fransisku,Fransisku,13541
krk,kerak,13542
buseeeeet,buset,13543
khaled,Khaled,13544
bumiy,bumi,13545
dbahas,dibahas,13549
shit,sial,13551
nyeck,nyek,13552
ngentok,ngantuk,13554
duhh,duh,13556
jjan,jan,13557
bgzt,banget,13558
widi,Widi,13559
masse,mas,13560
people,orang,13561
mentingin,mementingkan,13562
maknya,makanya,13564
pikirran,pikiran,13566
dua2nya,dua-duanya,13569
hadeeeh,haduh,13570
fapo,fap,13571
tauu,tahu,13574
ngetag,menandai,13575
tetep,tetap,13576
idialis,idealis,13577
ngkak,ngakak,13580
hmmmm,hmmm,13581
22jt,22 juta,13582
kye,kay,13584
berfaidah,bermanfaat,13585
jiiiing,jiing,13588
8anjt,8anjing,13589
misiya,misi,13590
trawang,terawang,13592
digaleri,di galeri,13593
suleker,sulker,13594
hiji,satu,13596
danii,dani,13598
800an,800-an,13599
bhing,bing,13601
duany,duanya,13605
cerei,cere,13606
cantiii,cantik,13607
ajae,aja,13609
dijejerin,dijajarkan,13610
music,musik,13611
bebrapa,beberapa,13612
pengasilan,penghasilan,13613
line,garis,13614
depcolector,debt collector,13616
njaluk,minta,13618
kagga,kagak,13619
metri,meter,13651
terkriminal,terkriminalisasi,13652
kanak,anak,13653
cariin,carikan,13654
mendragi,mendrag,13655
mbakkkkk,mbak,13656
rontokno,rontokkan,13657
hoream,hore,13658
priuk,panci,13659
pensaram,pensaran,13662
kpingin,kepingin,13663
beauties,kecantikan,13664
biarn,biarkan,13665
tinggiii,tinggi,13666
konggre,kongres,13670
pratekin,praktekan,13674
niy,ini,13675
laaaa,la,13677
hendsfree,handsfree,13678
oebagian,sebagian,13679
pembrontak,pemberontak,13681
blunderr,blunder,13682
nyant,nyantai,13683
detected,terdeteksi,13684
fithub,fit hub,13685
sumapah,sumpah,13686
tuuuh,tuh,13688
aama,ama,13689
boii,boy,13690
brarti,berarti,13691
bangeetttt,banget,13693
pindahin,pindahkan,13694
class,kelas,13695
segacor,segacor,13696
perseterusn,perseteruan,13697
kukot,kukuh,13699
subscriber,pelanggan,13700
kristina,Kristina,13701
ngibur,menghibur,13702
jemoura,jemur,13703
negenttoooooooot,ngetot,13704
gank2,geng,13705
yudi,Yudi,13706
cihuyyy,cihuy,13707
cantiknyooo,cantiknya,13710
santikxa,cantik,13712
